ESTE,NORTE
474495.2116,9530459.953
474496.3007,9530459.953
474496.3007,9530461.042
474497.3898,9530461.042
474497.3898,9530462.131
474498.4789,9530462.131
474498.4789,9530463.22
474499.568,9530463.22
474499.568,9530464.309
474500.6571,9530464.309
474500.6571,9530465.398
474501.7462,9530465.398
474501.7462,9530466.487
474502.8353,9530466.487
474502.8353,9530467.576
474503.9244,9530467.576
474503.9244,9530468.665
474505.0135,9530468.665
474505.0135,9530469.754
474506.1026,9530469.754
474506.1026,9530470.844
474507.1917,9530470.844
474507.1917,9530471.933
474508.2808,9530471.933
474508.2808,9530473.022
474509.3699,9530473.022
474509.3699,9530475.2
474510.459,9530475.2
474510.459,9530476.289
474511.5481,9530476.289
474511.5481,9530477.378
474512.6372,9530477.378
474512.6372,9530478.467
474513.7263,9530478.467
474513.7263,9530492.626
474514.8154,9530492.626
474514.8154,9530493.715
474518.0827,9530493.715
474518.0827,9530494.804
474522.4391,9530494.804
474522.4391,9530495.893
474525.7064,9530495.893
474525.7064,9530496.982
474528.9737,9530496.982
474528.9737,9530498.071
474531.1519,9530498.071
474531.1519,9530499.16
474533.3301,9530499.16
474533.3301,9530500.249
474534.4192,9530500.249
474534.4192,9530501.338
474535.5083,9530501.338
474535.5083,9530502.427
474536.5974,9530502.427
474536.5974,9530503.517
474537.6865,9530503.517
474537.6865,9530504.606
474538.7756,9530504.606
474538.7756,9530505.695
474539.8647,9530505.695
474539.8647,9530506.784
474540.9538,9530506.784
474540.9538,9530508.962
474542.0429,9530508.962
474542.0429,9530510.051
474543.132,9530510.051
474543.132,9530511.14
474544.2211,9530511.14
474544.2211,9530512.229
474545.3102,9530512.229
474545.3102,9530513.318
474546.3993,9530513.318
474546.3993,9530514.408
474547.4884,9530514.408
474547.4884,9530515.497
474548.5775,9530515.497
474548.5775,9530516.586
474549.6666,9530516.586
474550.5576,9530516.586
474550.5576,9530515.497
474551.6467,9530515.497
474551.6467,9530514.408
474552.7358,9530514.408
474552.7358,9530513.318
